id, author, year
1984, George Orwell ,1949
131,Little House in the Big Woods , Laura Wilder ,1932
132,Little House on the Prairie , Laura Wilder ,1935
133,Anna Karenina , Leo Tolstoy ,1878
134,War and Peace , Leo Tolstoy ,1868
135,Little Women , Louise May Alcott ,1862
136,Gone with the Wind , Margaret Mitchell ,1936
137,The Godfather , Mario Puzo ,1969
138,The Mists of Avalon , Marion Bradley ,1982
139,The Adventures of Tom Sawyer , Mark Twain ,1876
140,Frankenstein , Mary Shelley ,1818
141,I Know Why the Caged Bird Sings , Maya Angelou ,1969
142,Congo , Michael Crichton ,1980
143,The Andromeda Strain , Michael Crichton ,1969
144,Don Quixote , Miguel Cervantes ,1605
145,The Unbearable Lightness of Being , Milan Kundera ,1984
146,Think and Grow Rich , Napoleon Hill ,1937
147,Tuck Everlasting , Natalie Babbitt ,1975
148,The Prince , Niccolo Machiavelli ,1513
149,The Phantom Tollbooth , Norton Juster ,1961
150,The Picture of Dorian Gray , Oscar Wilde ,1890
151,Perfume: The Story of a Murderer , Patrick Suskind ,1985
152,The Good Earth , Pearl Buck ,1931
153,Jaws , Peter Benchley ,1974
154,The Man in the High Castle , Philip K. Dick ,1962
155,The Republic , Plato ,-380
156,The Martian Chronicles , R,1950
157,Invisible Man , Ralph Ellison ,1952
158,Fahrenheit 451, Ray Bradbury ,1953
159,The Big Sleep , Raymond Chandler ,1939
160,Watership Down , Richard Adams ,1972
161,Jonathan Livingston Seagull , Richard Bach ,1970
162,The Selfish Gene , Richard Dawkins ,1976
163,Surely You're Joking Mr. Feynman! , Richard Feynman ,1984
164,Charlie and the Chocolate Factory , Roald Dahl ,1964
165,James and the Giant Peach , Roald Dahl ,1961
166,The BFG , Roald Dahl ,1982
167,The Witches , Roald Dahl ,1983
168,Starship Troopers , Robert A. Heinlein ,1959
169,Stranger in a Strange Land , Robert Heinlein ,1961
170,The Bourne Identity , Robert Ludlum ,1980
171,Zen and the Art of Motorcycle Maintenance , Robert Pirsig ,1974
172,Kidnapped, Robert Stevenson ,1886
173,The Strange Case of Dr. Jekyll and Mr. Hyde , Robert Stevenson ,1886
174,Treasure Island , Robert Stevenson ,1882
175,Waiting for Godot , Samuel Beckett ,1953
176,Where the Sidewalk Ends , Shel Silverstein ,1947
177,Christine , Stephen King ,1983
178,Cujo , Stephen King ,1981
179,Different Seasons , Stephen King ,1982
180,Firestarter , Stephen King ,1980
181,Night Shift , Stephen King ,1978
182,Pet Sematary , Stephen King ,1983
183,Salem's Lot , Stephen King ,1975
184,The Dead Zone , Stephen King ,1979
185,The Gunslinger , Stephen King ,1982
186,The Shining , Stephen King ,1977
187,The Stand , Stephen King ,1978
188,Thinner , Stephen King ,1984
189,A is for Alibi , Sue Grafton ,1982
190,The Art of War , Sun Tzu ,-500
191,The Bell Jar , Sylvia Plath ,1963
192,A Streetcar Names Desire , Tennessee Williams ,1947
193,The Glass Menagerie , Tennessee Williams ,1945
194,The Color of Magic , Terry Pratchett ,1983
195,Far from the Madding Crowd , Thomas Hardy ,1874
196,Tess of the D'Urbervilles , Thomas Hardy ,1891
197,Schingler's List , Thomas Keneally ,1982
198,The Hunt for Red October , Tom Clancy ,1984
199,The Bluest Eye , Toni Morrison ,1970
200,The Name of the Rose , Umberto Eco ,1980
201,The Jungle , Upton Sinclair ,1906
202,A Wizard of Earthsea , Ursula LqGuin ,1968
203,Flowers in the Attic , V.C. Andrews ,1979
204,Les Miserables , Victor Hugo ,1862
205,The Hunchback of Notre Dame , Victor Hugo ,1831
206,Man's Search for Meaning  , Viktor Frankl ,1946
207,Helter Skelter: The True Story of the Manson Murders , Vincent Bugliosi ,1974
208,Mrs. Dalloway , Virginia Woolf ,1923
209,To the Lighthouse , Virginia Woolf ,1927
210,Lolita , Vladmir Nabokov ,1955
211,Candide , Voltaire ,1759
212,Woman in White The , Wilkie Collins ,1859
213,My Antonia , Willa Cather ,1918
214,As I Lay Dying , William Faulkner ,1930
215,The Sound and the Fury , William Faulkner ,1929
216,Neuromancer , William Gibson ,1984
217,The Princess Bride , William Goldman ,1973
218,The Exorcist , William Peter Blatty ,1971
219,King Lear , William Shakespeare ,1603
220,Othello , William Shakespeare ,1603
221,The Merchant of Venice , William Shakespeare ,1596
222,Twelth Night , William Shakespeare ,1601
223,Vanity Fair , William Thackeray ,1848
224,Where the Red Ferns Grow , Wilson Rawls ,1961
225,Evil Under the Sun,Agatha Christie,1941
226,Murder in Mesopotamia,Agatha Christie,1936
227,Peril at End House,Agatha Christie,1932
228,The Mysterious Affair at Styles,Agatha Christie,1920
229,Man in the Iron Mask,Alexandre Dumas,1850
230,Dracula,Bram Stoker,1897
231,"The Lion, the Witch and the Wardrobe",C. S. Lewis,1950
232,A Christmas Carol,Charles Dickens,1843
233,A Tale of Two Cities,Charles Dickens,1859
234,Bleak House,Charles Dickens,1852
235,David Copperfield,Charles Dickens,1849
236,Great Expectations,Charles Dickens,1860
237,Oliver Twist ,Charles Dickens,1837
238,The Mystery of Edwin Drood,Charles Dickens,1870
239,Jane Eyre,Charlotte Brontë,1847
240,The Da Vinci Code,Dan Brown,2003
241,A Princess of Mars,Edgar Rice Burroughs,1912
242,Tarzan of the Apes,Edgar Rice Burroughs,1912
243,The Great Gatsby,F.Scott Fitzgerald,1925
244,To Kill a Mockingbird,Harper Lee,1960
245,Moby Dick,Herman Melville,1851
246,"I, Robot ",Isaac Asimov ,1950
247,The Fellowship of the Ring ,J.R.R. Tolkien,1954
248,The Hobbit: or There and Back Again,J.R.R. Tolkien,1937
249,The Return of the King ,J.R.R. Tolkien,1966
250,The Two Towers ,J.R.R. Tolkien,1954
251,Gulliver's Travels,Jonathan Swift,1726
252,Are You There God It's Me  Margaret,Judy Blume ,1970
253,The Wonderful Wizard of OZ,L. Frank Baum,1900
254,Alice's Adventures in Wonderland,Lewis Carroll,1865
255,Gone with the Wind ,Margaret Mitchell,1936
256,The Jungle Book,Rudyard Kipling,1894
257,The Adventures of Huckleberry Finn,Mark Twain,1884
258,The Portrait of a Lady,Henry James,1881
259,The Call of the Wild,Jack London,1903
260,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892
261,The Importance of Being Earnest, Oscar Wilde ,1895
262,The Time Machine, H.G. Wells ,1895
